t,phase,ref,pos,vel,e,u
0.000040,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.010536,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.021045,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.031335,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.042070,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.052378,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.062870,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.073145,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.083684,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.093884,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.104351,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.114614,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.125115,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.135303,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.145777,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.156040,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.166518,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.176749,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.187380,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.197571,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.207995,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.218195,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.228633,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.238836,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.249343,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.259577,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.270090,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.280281,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.290991,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.301193,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.311551,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.321729,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.332115,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.342349,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.353014,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.363292,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.373929,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.384215,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.394747,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.404996,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.415431,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.425594,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.435950,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.446116,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.456457,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.466608,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.476900,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.487079,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.497375,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.507546,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.518221,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.528442,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.538936,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.549167,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.559684,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.569902,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.580282,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.590476,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.600818,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.611018,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.621462,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.631727,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.642082,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.652282,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.662649,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.672805,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.683181,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.693412,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.703729,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.713881,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.724269,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.734440,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.744719,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.754951,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.765328,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.775552,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.785923,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.796096,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.806408,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.816579,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.826850,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.837061,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.847399,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.857607,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.867956,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.878141,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.888533,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.898712,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.909065,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.919245,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.929648,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.939801,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.950180,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.960359,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.970746,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.980979,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
0.991314,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.001545,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.011846,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.022302,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.032771,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.042988,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.053566,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.063764,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.074239,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.084434,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.094801,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.104956,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.115284,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.125457,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.135831,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.146011,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.156392,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.166645,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.177065,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.187304,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.197651,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.207846,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.218189,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.228367,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.238678,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.248826,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.259146,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.269344,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.279761,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.289927,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.300364,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.310605,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.320992,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.331263,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.341675,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.351840,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.362328,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.372553,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.382983,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.393165,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.403547,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.413707,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.424085,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.434233,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.444607,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.454744,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.465102,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.475281,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.485632,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.495836,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.506348,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.516571,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.527453,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.537689,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.548217,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.558477,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.568988,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.579183,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.589616,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.599782,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.610149,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.620331,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.630770,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.641037,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.651452,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.661689,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.671992,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.682216,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.692514,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.702770,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.713154,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.723329,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.733647,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.743874,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.754182,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.764402,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.774718,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.784947,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.795313,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.805482,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.815859,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.826100,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.836420,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.846676,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.856973,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.867204,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.877610,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.887763,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.898097,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.908285,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.918624,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.928783,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.939123,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.949293,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.959602,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.969738,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.980037,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
1.990215,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.000583,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.010742,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.021171,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.031731,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.042166,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.052443,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.062989,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.073212,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.083677,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.093835,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.104186,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.114360,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.124748,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.134994,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.145395,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.155649,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.165955,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.176232,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
2.186578,HOLD,1.845379,1.845379,0.000000,0.000000,0.000005
