t(s),joint,q_ref,qdot_ref,qddot_ref,q_fuzzy,q_hac,e_fuzzy,e_hac,ed_fuzzy,ed_hac,pwm_fuzzy,pwm_hac,delta_pwm,grav_fuzzy,grav_hac
0.0000,waist,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,shoulder,0.000000,-0.000000,-5.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,elbow,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,wrist_angle,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0100,waist,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0100,shoulder,-0.000250,-0.050000,-5.000000,0.000000,0.000000,-0.000250,-0.000250,-0.050000,-0.050000,-0.3144,-2.3333,2.0189,0.0000,0.0000
0.0100,elbow,0.000251,0.050000,5.000000,0.000000,0.000000,0.000251,0.000251,0.050000,0.050000,0.4225,2.3371,-1.9146,0.0000,0.0000
0.0100,wrist_angle,0.000250,0.050000,5.000000,0.000000,0.000000,0.000250,0.000250,0.050000,0.050000,0.5511,2.3333,-1.7822,0.0000,0.0000
0.0100,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,shoulder,-0.001000,-0.100000,-5.000000,0.000000,0.000000,-0.001000,-0.001000,-0.099895,-0.099222,-1.2581,-5.9741,4.7160,0.0000,0.0000
0.0200,elbow,0.001003,0.100000,5.000000,0.000000,0.000000,0.001003,0.001003,0.099831,0.099065,1.4738,5.9764,-4.5026,0.0000,0.0000
0.0200,wrist_angle,0.001000,0.100000,5.000000,0.000000,0.000000,0.001000,0.001000,0.099633,0.098444,2.0223,5.9481,-3.9259,0.0000,0.0000
0.0200,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0300,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0300,shoulder,-0.002250,-0.150000,-5.000000,-0.000001,-0.000008,-0.002249,-0.002242,-0.149476,-0.147231,-2.8388,-10.8882,8.0494,-0.0002,-0.0013
0.0300,elbow,0.002254,0.150000,5.000000,0.000002,0.000009,0.002253,0.002245,0.149241,0.146675,3.1603,10.8761,-7.7158,0.0001,0.0006
0.0300,wrist_angle,0.002250,0.150000,5.000000,0.000004,0.000016,0.002246,0.002234,0.148284,0.144479,4.4190,10.7751,-6.3561,0.0001,0.0006
0.0300,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0400,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0400,shoulder,-0.004000,-0.200000,-5.000000,-0.000006,-0.000035,-0.003994,-0.003965,-0.198530,-0.193601,-5.0508,-17.0313,11.9806,-0.0010,-0.0059
